lang,word_original,word_translation
ml,position,"स्थिति, स्थान, पद, अवस्था"
ml,province,"प्रांत, राज्य, क्षेत्र, प्रदेश, अंचल"
ml,exchange,"अदला, बदला, विनिमय, परिवर्तन, लेनदेन"
ml,middle,"मध्य, बीच, बिल्कुल, अध मध्य, मध्यम"
ml,friend,"मित्र, दोस्त, साथी, सहयोगी, संगी"
ml,color,"रंग, वर्ण, ध्वनि, छटा, तेवर"
ml,kind,"दयालु, सहायक, मित्रवत, स्नेही, प्रेमालु"
ml,judge,"न्यायाधीश, जज, निर्णायक, विचारक, मूल्यांकक"
ml,school,"विद्यालय, स्कूल, शिक्षालय, पाठशाला, कॉलेज"
ml,structure,"ढांचा, संरचना, बनावट, रचना, संगठन"
ml,tie,"गांठ, बंधन, रिश्ता, बंध, जोड़"
ml,example,"उदाहरण, मिसाल, नमूना, प्रतिक, दृष्टांत"
ml,face,"मुख, चेहरा, मोहरा, रूप, आकार"
ml,bridge,"पुल, सेतु, बांध, सड़क"
ml,item,"वस्तु, पदार्थ, सामग्री, वस्त्र, वस्तु"
ml,delete," मिटाना, हटाना, हटाना"
ml,group,"समूह, दल, टोली, जत्था, मण्डल"
ml,talent,"प्रतिभा, कौशल, योग्यता, क्षमता, कला"
ml,beauty,"सुंदरता, आकर्षण, रूप, सौंदर्य, आकर्षा"
ml,platform,"मंच, प्लेटफार्म, स्टेज, टिकौना, आधार"
ml,house,"घर, मकान, भवन, सदन, बंगला"
ml,sun,"सूरज, सूर्य, दिनकर, भास्कर, रवि"
ml,meeting,"बैठक, मुलाकात, सम्मेलन, संगोष्ठी, समावेश"
ml,history,"इतिहास, ऐतिहास, अतीत, चरित्र, पुरावृत्त"
ml,valley,"घाटी, तराई, निचाई, खाड़ी, उपत्यका"
ml,square,"वर्ग, चौक, आयत, चतुर्भुज, मैदान"
ml,generation,"पीढ़ी,अभियांत्रिकी, उत्पत्ति, जन्म"
ml,south,"दक्षिण, दक्खिन"
ml,virtue,"गुण, सद्गुण, नैतिकता, धर्म, पुण्य"
ml,tribe,"जनजाति, कबीला, समुदाय, जाति, समाज"
ml,city,"शहर, नगर, कस्बा, महानगर, बस्ती"
ml,language,"भाषा, बोली, जुबान, वाणी, तरीका"
ml,speed,"गति, वेग, चाल, रफ्तार, गति"
ml,ground,"जमीन, भूमि, धरती, ज़मीन, मैदान"
ml,advance,"आगे, प्रगति, उन्नति, प्रगतिशील, उन्नत"
ml,attempt,"प्रयास, कोशिश, प्रयत्न, यत्न, प्रयास"
ml,defeat,"हार, पराजय, असफलता, अपजय"
ml,tail,"पूंछ, दुम, लंब, पुच्छ, प्रदेश"
ml,mother,"माँ, माता, जननी, अम्बा, मातृ"
ml,east,"पूर्व, पूर्वदिशा, प्रवोध, प्राची, पौरब"
ml,return,"वापसी, प्रतिदान, लौटाना, पुनरागमन, वापिसी"
ml,speech,"भाषण, वक्तव्य, वाणी, अभिवादन, उद्बोधन"
ml,child,"बच्चा, बालक, शिशु, बाल, सन्तान"
ml,tower,"बुर्ज, मीनार, टावर, स्तंभ, मिनार"
ml,hair,"बाल, केश, जूआं, लोम, वाल"
ml,household,"परिवार, घर, घराना, परिवेश, गृहस्थ"
ml,person,"व्यक्ति, मनुष्य, प्राणी, जीव, मानव"
ml,section,"अनुभाग, भाग, खंड, प्रभाग, विभाग"
ml,official,"आधिकारिक, सरकारी, अधिकृत, कर्मचारी, अधिकारी"
ml,hundred,"सौ, शत, एकसौ, शतक, शतम"
ml,office,"कार्यालय, दफ्तर, कार्यस्थल, ऑफिस, ड्योडी"
ml,rock,"पथर, शिला, चट्टान, पत्थर, शैल"
ml,rise,"उठान, वृद्धि, उत्थान, चढ़ाव, बढ़त"
ml,left,"बायें, वाम, दायें नहीं, बाएं, अल्प"
ml,sound,"ध्वनि, आवाज, शब्द, स्वर, अक्षर"
ml,power,"शक्ति, ऊर्जा, बल, सामर्थ्य, अधिकार"
ml,summer,"ग्रीष्म, गर्मी, उनी, ऋतु"
