fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it,hi_translit,ml_translit,ta_translit,te_translit,gu_translit,ml,ta,te,gu
"['aubier', 'bois']","['Splintholz', 'Holz']","['дерево', 'оболонь', 'лес', 'древеси́на', 'древесина', 'лесоматериа́л', 'де́рево']","['sap-wood', 'wood', 'sapwood', 'alburnum']","['木', '木头', '木材', '木料', '木頭']","['albura', 'sámago', 'madera']",['木材'],"['나무', '목재']","['puit', 'puu']","['pintapuu', 'puu', 'puuaines']","['hout', 'spinthout', 'houtsoort']","['लक्डी', 'लकड़ी', 'काठ', 'काष्ठ']",wood,"['legno', 'alburno', 'legname']","['laakh', 'lāk', 'dāru', 'gāndh', 'shākh']","['maram', 'veppu']","['maram', 'kaṭṭu', 'mūla', 'pōl', 'kōṭṭu']",['chivvu'],"['lāmbhā', 'dāru', 'chāndā', 'kārī', 'gāḍh']","['കാട്', 'വൃക്ഷം', 'തടി', 'ലംബം']","['கல்', 'மரம்', 'பனை', 'பட்டை', 'கொட்டை']","['చెట్టు', 'కొమ్మ', 'వుడ్డు']","['લકડી', 'લાકડું', 'વૃક્ષ', 'કાંડા', 'વૃક્ષમુખ']"
"['hameau', 'village']","['Dorf', 'Ortschaft', 'Weiler', 'Dörfchen']","['село', 'деревня', 'слобода́', 'село́', 'кишла́к', 'ау́л', 'стани́ца', 'селе́ние', 'весца́', 'ху́тор', 'дере́вня', 'вёска', 'весь', 'ве́слина']","['village', 'hamlet']","['村', '乡庄', '鄉村', '村莊', '村落', '农村', '乡村', '屯落', '農村', '村庄', '村子', '鄉莊']","['caserío', 'pueblo', 'aldea', 'aldehuela']","['村落', '田舎']","['마을', '촌락']",['küla'],"['kylä', 'pieni kylä']","['dorp', 'gehucht', 'gat', 'buurt', 'buurtschap', 'vlek']","['गाँव', 'गांव']",village,"['paesello', 'borgo', 'paesino', 'frazione', 'villaggio', 'paese', 'borgata', 'casale', 'vico']","['gaav', 'gaon']","['gramam', 'palli', 'nadu']","['urumpāṭu', 'paṭṭi', 'āṭṭu', 'kūṭṭam', 'pāṇḍi']","['gramamu', 'palli']","['gaam', 'pattan', 'dham', 'nivas', 'grama']","['ഗ്രാമം', 'കുടുംബം', 'പട്ടണം']","['ஊர்', 'கிராமம்', 'கிராமப்புறம்', 'பட்டணம்', 'கிரிவட்டம்']","['గ్రామం', 'పల్లె', 'ఊరు']","['गाँव', 'વડ', 'ગામડું', 'ગામ']"
['chanson'],['Lied'],['песня'],"['song', 'vocal']","['歌', '歌曲']","['canción', 'vocal']",['歌曲'],['노래'],['laul'],"['laulu', 'sävelmä', 'lauluosuus']","['lied', 'zang', 'liedje', 'een appel en een ei', 'nummer']",['गीत'],song,"['canzone', 'canzonetta', 'canto']","['gaana', 'geet', 'bhajan', 'tappa', 'bandish']","['paattu', 'geetham', 'gaanam', 'sangeetham', 'keerthanam']","['paatu', 'keerthanai', 'geetham', 'thullal', 'padal']","['geetham', 'padam', 'swaram', 'gaanam', 'sangeetham']","['geet', 'gaan', 'sangeet', 'tarana', 'bhajan']","['ഗാനം', 'പാട്ട്', 'സംഗീതം']","['பாடல்', 'பதின்ம', 'பாட', 'கீதம்', 'நாதம்']","['పాట', 'గీతం', 'గానం']","['ગીત', 'ગાન', 'ભજન', 'રેખા', 'સંગીત']"
"['eau', 'eaux', ""étendue d'eau""]","['Wasser', 'Gewässer']","['вода', 'воды', 'во́дное простра́нство', 'водоём', 'водный объект']","['water', 'body of water', 'waterbody']","['水', '水體', '水体']","['agua', 'cuerpo de agua', 'extensión de agua', 'masa de agua']",['水域'],"['물', '수역']","['vesi', 'veekogu']","['vesi', 'vedet', 'vesimuodostuma', 'vesialue']","['water', 'zoetwater', 'majem', 'wateren', 'waterlichaam']","['जल', 'पानी', 'जल निकाय']",water,"['acqua', 'acque', ""corpo d'acqua"", ""bacino d'acqua"", ""massa d'acqua"", ""specchio d'acqua""]","['paani', 'jal']","['jalam', 'pani', 'neer']",['ney'],"['jala', 'pani', 'theertham', 'neeru', 'jalam']","['jal', 'pani']","['물', 'ജലം', 'വെള്ളം']","['நீர்', 'தண்ணீர்', 'பொழில்', 'நிலா', 'வளி']","['물', 'నీళ్ళు', 'జలం']","['જળ', 'પાણી']"
['sable'],['Sand'],"['песок', 'песо́к']",['sand'],"['沙', '沙子', '砂']",['arena'],['砂'],['모래'],"['liiv', 'Liiv']",['hiekka'],"['zand', 'zavel', 'lef', 'zandstrand']","['बालू', 'रेत']",sand,"['sabbia', 'rena', 'arena']","['rakkam', 'mitti', 'bhasma']",['manal'],['manal'],"['mitti', 'bhoomi', 'rekhala', 'samanthalu', 'paani']","['relo', 'mitti']","['रेതം', 'മണൽ', 'മണ്ണ്']","['மணல்', 'சேறு', 'மண்', 'கடற்பாறை', 'தூள்']","['रेत', 'మట్టి']","['મીઠું', 'કાળી', 'રેતી', 'કણ', 'ભૂસ']"
"['rivière', 'fleuve', 'courant', ""cours d'eau"", 'ruisseau', 'rupt', ""courant d'eau"", 'ru']","['Fluß', 'Fluss', 'Bach', 'Wasserlauf', 'Fließgewässer']","['река', 'водный путь', 'ручей', 'поток', 'ре́чка', 'водоток', 'пото́к', 'речу́шка', 'руче́й', 'система озёр']","['river', 'stream', 'watercourse', 'brook', 'lake system']","['河', '水流', '河流', '川', '江', '水道', '小河', '溪', '流水']","['río', 'ríos', 'arroyo', 'corriente', 'curso de agua', 'flujo']","['川', '流れ', '小川', '渓流', '水路']","['강', '시내', '물길', '내', '개울']","['jõgi', 'vooluveekogu', 'oja', 'Oja']","['joki', 'vesitie', 'vesistö', 'puro', 'väylä', 'vesireitti', 'noro', 'oja', 'virtavesi', 'virta']","['rivier', 'stroom', 'waterloop', 'beek', 'merensysteem', 'watergang']","['नदी', 'दरिया', 'रूद', 'जलस्रोत']",river,"['fiume', ""corso d'acqua"", 'corrente', 'ruscello', 'rivo', 'torrente']","['nदी', 'nadi']","['nadhi', 'pushpagiri', 'theertham']","['kaveri', 'nadi', 'theertham', 'amudham', 'thanneer']","['nadhi', 'pushkarini', 'nalla', 'jalam', 'teertham']","['nhiri', 'nadi', 'saras', 'pushpavati']","['നദി', 'പുഴ', 'തടാകം', 'കുളം']","['ஆறு', 'நதி', 'குறுநதி', 'பள்ளத்தாக்கு', 'கால்வாய்']","['నది', 'ప్రవాహం', 'జలధारा', 'నేరు', 'వాగు']","['નદી', 'પાર્વતી', 'પ્રવાહ', 'જળાશય', 'જળધारा']"
"['loi', 'droit', 'méthode', 'procédé', 'manière']","['Recht', 'Gesetz', 'Verfahrensweise', 'Methode', 'Vorgehensweise', 'Art und Weise', 'Verfahren']","['право', 'пра́вило', 'пра́во', 'зако́н', 'закон', 'метод', 'приём', 'ме́тод', 'спо́соб']","['law', 'jurisprudence', 'process', 'way', 'method']","['法', '法律系统', '法律', '方法', '方式', '做法', '办法']","['derecho', 'ley', 'Derecho', 'jurisprudencia', 'método']","['方法', '方式']","['법', '방법', '방식']","['õigus', 'seadus', 'meetod', 'viis']","['laki', 'juridiikka', 'menetelmä', 'metodi']","['wet', 'recht', 'methode', 'methodiek', 'handelwijze', 'optreden', 'systeem', 'handelwijs', 'systematiek']","['नियम', 'विधि', 'क़ानून', 'तरीक़ा', 'तरह']",law,"['diritto', 'legge', 'giurisprudenza', 'legislazione', 'corpo legislativo', 'metodo', 'procedimento', 'maniera', 'sistema']","['kanoon', 'vidhi', 'niyam', 'adhikar', 'vidheya']","['vidhi', 'nyayam', 'niyama', 'adhikaram', 'dharmam']","['niyama', 'kaala', 'vidhi', 'aathu', 'kaayidam']","['nyayam', 'vidhi', 'dharmam', 'kanun', 'niyama']","['nyaya', 'kanoon', 'vidhi', 'vidhividhan', 'adhikar']","['നിയമം', 'കനून', 'നിർദേശം', 'അനുമതി', 'അച്ചടക്കം']","['கட்டளை', 'சட்டம்', 'விதி', 'குறள்', 'நियम']","['నियम', 'చట్టం', 'కానూన్', 'నిబంధన']","['કાનून', 'નિયમ', 'વિધિ', 'શાસન', 'પ્રતિબંધ']"
"['milieu marin', 'océan']","['Meeresumwelt', 'Ozean']","['морская окружающая среда', 'океан']","['sea', 'body of water', 'bounding main', 'ocean', 'marine environment']","['洋', '海洋', '大洋']","['océano', 'ambiente marino', 'mar']","['大洋', '海洋']",['대양'],"['ookean', 'merekeskkond']","['valtameri', 'meriympäristö']","['mariene milieu', 'oceaan', 'plas', 'wereldzee']",['महासागर'],ocean,"['ambiente marino', 'oceano']","['samudra', 'sagar', 'tal']","['samudra', 'sindhu', 'thal', 'saagar', 'samudram']","['kailaya', 'samudra', 'thalaimurai', 'thalaimurai', 'teengal']","['samudra', 'sagara']","['samudra', 'sagar']","['സമുദ്രം', 'കടൽ', 'നീലാകാശം', 'തടാകം']","['바다', 'கடல்', 'பெருங்கடல்', 'சமுத்திரம்', 'ஆழ்கடல்']","['సముద్రం', 'మహాసముద్రం', 'సముద్రతీరం']","['સમુદ્ર', 'મહાસાગર', 'સાગર']"
"['grotte', 'caverne']",['Höhle'],['пещера'],['cave'],"['洞', '洞穴', '洞窟', '石窟']","['caverna', 'cueva', 'gruta']",['洞窟'],['동굴'],['koobas'],"['luola', 'luolasto']","['hol', 'grot']",['गुफ़ा'],cave,"['caverna', 'grotta', 'antro']","['guh', 'gufa']","['guha', 'peedika', 'koodu']","['koovam', 'kūvam', 'kūvi', 'kūviyam', 'kūvippāṭam']","['guha', 'guhalu', 'guggila', 'bhoomi guha', 'bhoomi guhalu']","['gufa', 'gho', 'andhar', 'chhapar', 'bhuvan']","['ഗുഹ', 'കുഴി', 'കേവ', 'അന്തർഗുഹം', 'പുഴയ്ക്കുഴി']","['குழியுறை', 'மலைக்கொட்டகை', 'மரத்தினுள்', 'மண்வெட்டகம்', 'முகாம்']","['గుహ', 'గుహా', 'అంతర్భాగం']","['ગુફા', 'ખડક', 'ખડકનો છાપ', 'ગોધણ', 'ગુફા']"
['mer'],['Meer'],"['Мировой океан', 'море']",['sea'],"['海', '世界洋']","['mar', 'océano mundial', 'océano', 'mares']",['世界の大洋'],['바다'],"['Maailmameri', 'meri']",['meri'],['zee'],['सागर'],sea,"['mare', 'acque']","['samudra', 'sagar']","['samudra', 'tharangam', 'sagaram']","['kai', 'thalaimurai', 'samudra', 'thalaimurai', 'paalaimurai']","['samudra', 'sagara', 'thalasa', 'jalam', 'samudramu']","['samudra', 'sagar']","['സമുദ്രം', 'കടൽ', 'തടാകം']","['바다', 'கடல்', 'சமுத்திரம்']","['సముద్రం', '바다', 'తరంగాలు']","['સમુદ્ર', 'મહાસાગર', 'સાગર', 'સમુદ્રમહાસાગર', 'પ્રાણ']"
"['flamme', 'feu']","['Flamme', 'Feuergarbe', 'Lohe', 'Feuer', 'Feuerzunge']","['огонь', 'пламя', 'по́лы́мя', 'пла́мень', 'пла́мя', 'Пламя']","['flame', 'fire', 'flaming']","['火', '火焰', '焚烧', '燃烧', '火舌', '焰']","['fuego', 'llama', 'flama', 'lumbre', 'incendio']","['炎', '火炎']","['불', '화염', '불꽃', '불길']","['põleng', 'leek', 'Tuli', 'tuli', 'Leek']","['tuli', 'liekki']","['vuur', 'fik', 'vlam', 'laai']","['अग्नि', 'आग', 'आतिश', 'ज्वाला', 'शोला', 'लौ', 'लपट']",fire,"['fuoco', 'fiamma']","['ag', 'jwala', 'aag', 'diya', 'teej']","['theeyam', 'agni', 'jwalam']","['agathi', 'thekku']","['agni', 'jwala', 'theertham']","['agni', 'jwala', 'tejo']","['അग्നി', 'തീ', 'തീപ്പൊള്ളി', 'തീപ്പാട്', 'കത്തി']","['நெருப்பு', 'தீ', 'தீயினு']","['అగ్ని', 'మంట', 'తీవ్రత', 'దహనం', 'కాంతు']","['આગ', 'જ્વાળા', 'દહન', 'પ્રજ્વલન', 'તેલ']"
"['heure', 'point', 'Points', 'points', 'Point', 'nombre de points', 'score']","['Stunde', 'Scorerpunkt', 'Spielergebnis', 'Spielstand', 'Punkt']","['час', 'очко́', 'счёт', 'результа́т', 'очко', 'очки', 'Очки', 'балл']","['hour', 'hr', 'point', 'score']","['点', '小时', '钟头', '钟点', '小時', '鐘點', '點齊', '點', '鐘頭', '得分', '分', '比分']","['hora', 'h', 'puntaje', 'puntuación', 'point', 'tantos', 'punto']","['時間', '時', 'ポイント', '得点', 'スコア']","['시', '시간', '포인트', '득점']","['tund', 'skoor, punktiseis', 'punkt']","['tunti', 'h', 'piste', 'tehopiste', 'pistemäärä', 'Tehopiste']","['uur', 'stonde', 'h', 'punt', 'stand', 'doelpunt', 'locatie', 'winstpunt', 'tijdpunt', 'plek']",['घंटा'],point,"['ora', 'point', 'punteggio', 'punto']","['point', 'बिंदु', 'कोण', 'सूचक', 'प्रतिष्ठान']","['chithram', 'bhedam', 'sthalam', 'mukham', 'angam']","['nāṭṭu', 'pōnttu', 'nāṭṭam', 'pōntṭu', 'nāṭṭi']","['bhinnam', 'mukhya', 'sthalam', 'sthaanam', 'dakshina']","['punkt', 'mukhya', 'sthaan', 'ang', 'nibandh']","['ബിന്ദു', 'അക്ഷരം', 'പോയിന്റ്', 'സ്ഥാനം', 'ചിഹ്നം']","['நுனி', 'புள்ளி', 'குறி', 'கோடு', 'இடம்']","['బిందువు', 'చిట్ట', 'ప్రదేశం', 'కోణం', 'σημείο']","['બિંદુ', 'ચિહ्न', 'સ્થાન']"
"['ballon', 'balle', 'ballon de football', 'sphère', 'boule', 'bal', 'orbe', 'football', 'pelote', 'soccer', 'foot', 'globe']","['Ball', 'Fußball', 'Kugel', 'Tanzball', 'Gestirn', 'Knäuel']","['мяч', 'футбольный мяч', 'шар', 'сфе́ра', 'сфера', 'бал', 'ногомя́ч', 'клубо́к', 'футбо́л']","['ball', 'association football ball', 'sphere', 'globe', 'orb', 'formal', 'Football', 'football']","['球', '足球比赛用球', '球體', '球面', '球体', '球形', '舞会', '足球', '蹴球', '天体', '毛球', '球状物']","['pelota', 'bola', 'balón', 'pelota de fútbol', 'balón de fútbol', 'esfera', 'baile', 'balón de fútbol americano', 'orbe', 'balompié', 'futbol', 'pambol', 'fútbol', 'balón-pie']","['ボール', 'サッカーボール', '球面', '球体', '舞踏会', '蹴球', 'サッカー', 'フットボール', '玉']","['공', '축구공', '구', '구체', '무도회', '천체', '풋볼', '축구']","['pall', 'kera', 'sfäär', 'ball', 'Ball', 'jalgpall']","['pallo', 'jalkapallo', 'kehrä', 'tanssiaiset', 'Tanssiaiset', 'kerä', 'lankakerä', 'pyöreä kappale']","['bal', 'voetbal', 'bol', 'bolleke', 'bolletje', 'kluwen', 'wereldbol']","['गेंद', 'गोला', 'फुटबॉल', 'फ़ुटबॉल', 'फ़ुटबाल', 'फुटबाल']",ball,"['pallone', 'palla', 'pallone da calcio', 'sfera', 'ballo', 'veglione', 'palla da rugby', 'palla ovale', 'gomitolo', 'calcio', 'orbe', 'globo']",['golla'],"['golu', 'kutti', 'chakkaram']","['kūṭṭu', 'pōṭṭu', 'gōl', 'kaṭṭu', 'pāṇi']","['golla', 'liddam', 'gudugudu']","['golu', 'lilli', 'phanda', 'khel', 'gunda']","['കളി', 'ഗോളം', 'പന്തു']","['பந்து', 'வட்டம்', 'கோப்பை']","['గेंद', 'బంతి', 'బాల్']","['ગોળ', 'કુટુ', 'રમત', 'ટોપ', 'ગોળા']"
