fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it,hi_translit,ml_translit,ta_translit,te_translit,gu_translit,ml,ta,te,gu,ml_devnagari,ta_devnagari,te_devnagari,gu_devnagari
"['rendu', 'rendu graphique', 'traduction', 'interprétation']","['Rendern', 'Bildsynthese', 'Übersetzung', 'Kompilieren']",['перевод'],"['version', 'translation', 'compilation', 'interlingual rendition', 'rendering', 'translated work', 'interpretation', 'reading']","['翻譯', '翻译']","['renderización', 'traducción', 'confección', 'renderizado', 'compilación', 'interpretación']","['翻訳', '翻訳作品']","['번역', '번역물']","['tõlkimine', 'tõlge']","['käännös', 'kääntäminen', 'näkemys', 'sovitus', 'tulkinta']","['afbeelding', 'vertaling', 'weergave', 'vertalen', 'interpretatie']","['संस्करण', 'आवृत्ति', 'प्रत', 'स्वरूप', 'रूपांतरण']",version,"['resa grafica', 'rendering', 'traduzione', 'compilazione', 'versione', 'interpretazione']","['sanskaran', 'aavritti', 'prat', 'swaroop', 'rupantaran']","['pathipp', 'version', 'roopam', 'reethi', 'model']","['pathippu', 'vadivam', 'murai', 'veliyeedu', 'thiruttham']","['samskarana', 'roopam', 'version', 'sanchika', 'patrika']","['aavrutti', 'sanskaran', 'avtaran', 'rupaantar', 'sanshodhan']","['പതിപ്പ്', 'വേര്ഷൻ', 'രൂപം', 'രീതി', 'മോഡൽ']","['பதிப்பு', 'வடிவம்', 'முறை', 'வெளியீடு', 'திருத்தம்']","['సంస్కరణ', 'రూపం', 'వెర్షన్', 'సంచిక', 'పత్రిక']","['આવૃત્તિ', 'સંસ્કરણ', 'અવતરણ', 'રૂપાંતર', 'સંશોધન']","['पथिप्प', 'वर्जन', 'रूपम', 'रीठी', 'मॉडेल']","['पथिप्पू', 'वादिवम', 'मुरई', 'वेलियीदु', 'तिरुत्थम']","['संस्करण', 'रूपम', 'वर्जन', 'संचिका', 'पत्रिका']","['आवृत्ति', 'संस्करण', 'अवतरण', 'रूपान्तर', 'संशोधन']"
"['baseball', 'ballon', 'balle', 'ballon de football', 'sphère', 'boule', 'projectile', 'bal', 'orbe', 'football', 'pelote', 'soccer', 'foot', 'globe']","['Baseball', 'Fußball', 'Kugel', 'Geschoss', 'Flugkörper', 'Projektil', 'Tanzball', 'Gestirn', 'Knäuel']","['бейсбол', 'мяч', 'футбольный мяч', 'шар', 'сфе́ра', 'сфера', 'пуля', 'пу́ля', 'снаря́д', 'бал', 'ногомя́ч', 'клубо́к', 'футбо́л']","['ball', 'baseball', 'baseball game', 'association football ball', 'sphere', 'globe', 'orb', 'bullet', 'slug', 'Slug', 'formal', 'Football', 'football']","['棒球', '棒球比赛', '球', '足球比赛用球', '球體', '球面', '球体', '球形', '枪弹', '子弹', '彈丸', '子彈', '枪子儿', '槍子兒', '槍子', '枪子', '舞会', '足球', '蹴球', '天体', '毛球', '球状物']","['béisbol', 'beisbol', 'baseball', 'pelota', 'bola', 'balón', 'pelota de fútbol', 'balón de fútbol', 'esfera', 'bala', 'proyectil', 'ojiva', 'baile', 'balón de fútbol americano', 'orbe', 'balompié', 'futbol', 'pambol', 'fútbol', 'balón-pie']","['野球', 'ボール', 'サッカーボール', '球', '球面', '球体', '弾丸', '銃弾', '弾', '舞踏会', '蹴球', 'サッカー', 'フットボール', '玉']","['야구', '공', '축구공', '구', '구체', '탄알', '총알', '무도회', '천체', '풋볼', '축구']","['pesapall', 'pall', 'kera', 'sfäär', 'Kuul', 'kuul', 'jalgpall']","['baseball', 'baseball-peli', 'pallo', 'jalkapallo', 'kehrä', 'ammus', 'luoti', 'kuula', 'tanssiaiset', 'Tanssiaiset', 'kerä', 'lankakerä', 'pyöreä kappale']","['honkbal', 'bal', 'voetbal', 'bol', 'kogel', 'geweerkogel', 'bolleke', 'bolletje', 'kluwen', 'wereldbol']","['गेंद', 'बॉल', 'गोला', 'टोपी', 'गोली']",ball,"['baseball', 'pallabase', 'partita di baseball', 'palla base', 'pallone', 'palla', 'pallone da calcio', 'sfera', 'pallottola', 'proiettile', 'ballo', 'veglione', 'palla da rugby', 'palla ovale', 'gomitolo', 'calcio', 'orbe', 'globo']","['gend', 'ball', 'golaa', 'topi', 'goli']","['panthu', 'golam', 'urunda', 'golakam', 'adipanthu']","['pandhu', 'koalam', 'urundai', 'kaappu', 'cole']","['banthi', 'golam', 'pandika', 'gundu', 'adugu']","['gola', 'dado', 'gend', 'pind', 'golaakaar']","['പന്ത്', 'ഗോളം', 'ഉരുണ്ട', 'ഗോളകം', 'അടിപന്ത്']","['பந்து', 'கோளம்', 'உருண்டை', 'காப்பு', 'கோல்']","['బంతి', 'గోళం', 'పండిక', 'గుండు', 'అడుగు']","['ગોળ', 'દડો', 'ગેંદ', 'પિંડ', 'ગોળાકાર']","['पंथु', 'गोलम', 'उरुंडा', 'गोलकम', 'आदिपंथु']","['पंधु', 'कोआलम', 'उरुंडाई', 'काप्पू', 'कोल']","['बांठी', 'गोलम', 'पंडिका', 'गुंडू', 'अदुगु']","['गोला', 'दादो', 'जेंड', 'पिंड', 'गोलाकार']"
"['peinture', 'artiste peintre', 'peintre', 'image', 'tableau']","['Abbild', 'Maler', 'Darstellung', 'Gemälde', 'Malerei']","['картина', 'образ', 'живопись', 'жи́вопись']","['painting', 'image', 'picture', 'artist', 'painter', 'art of painting']","['绘画', '畫作', '油漆', '繪畫', '画儿', '图画', '画']","['pintora', 'imagen', 'pintor', 'pintura', 'pintado', 'lienzo', 'cuadro', 'pintada']","['絵画', '画像', '画', 'タブロー', '絵画作品']",['회화'],"['maal', 'maalimine', 'maalikunst']","['kuva', 'maalaustaide', 'maalaus', 'maalaaminen']","['schilder', 'verven', 'plaatje', 'schilderen', 'kunstschilder', 'afbeelding', 'schilderkunst', 'geschilder', 'schilderij', 'schilderstuk', 'schilderwerk', 'doek']","['चित्रकला', 'चित्र', 'पेंटिंग', 'आर्ट', 'निर्माण']",painting,"['pittura', 'pittore', 'raffigurazione', 'immagine', 'dipinto', 'verniciatura', 'quadro']","['chitrakala', 'chitra', 'painting', 'art', 'nirmaan']","['chithram', 'ezhuthu', 'varaykkal', 'thailachitram', 'rekhaachithram']","['ooviyam', 'varaippu', 'siddhiram', 'neervarnam', 'ezhuththu']","['chitram', 'varnachitram', 'chitralekhanam', 'varnana', 'chitrakala']","['chitrakari', 'cheetra', 'aalekhan', 'rangkaam', 'chitrakala']","['ചിത്രം', 'എഴുത്ത്', 'വരയ്ക്കൽ', 'തൈലചിത്രം', 'രേഖാചിത്രം']","['ஓவியம்', 'வரைப்பு', 'சித்திரம்', 'நீர்வர்ணம்', 'எழுத்து']","['చిత్రం', 'వర్ణచిత్రం', 'చిత్రలేఖనం', 'వర్ణన', 'చిత్రకళ']","['ચિત્રકારી', 'ચિત્ર', 'આલેખન', 'રંગકામ', 'ચિત્રકલા']","['चिथराम', 'एजुथु', 'वरायक्कल', 'थैलाचित्रम', 'रेखाचित्रम्']","['ऊवियम', 'वरैप्पू', 'सिद्धिराम', 'निर्वारनाम', 'एजुथ्थु']","['चितराम', 'वर्णचित्रम', 'चित्रलेखनम्', 'वर्णना', 'चित्रकला']","['चित्रकारी', 'चित्र', 'आलेखन', 'रंगकाम', 'चित्रकला']"
"['riziculteur', 'riz', 'riz paddy']",['Reis'],['рис'],"['rice', 'rice farmer', 'rice grower', 'Rice gadu']","['稻米', '米', '稻', '稻子']",['arroz'],"['米', '稲']","['쌀', '벼']",['riis'],"['riisi', 'riisikasvi']","['rijst', 'rijstboer', 'Aziatische rijst']","['चावल', 'धान', 'अन्न', 'भात', 'खाद्य']",rice,"['riso', 'risicoltore', 'risicultore']","['chawal', 'dhaan', 'ann', 'bhaat', 'khaadya']","['arrie', 'choru', 'nellu', 'pachari', 'daanyam']","['arisi', 'soaru', 'paththam', 'nell', 'porii']","['biyyam', 'annam', 'dhanyam', 'vari', 'aakulu']","['chokha', 'bhaat', 'dhaany', 'ann', 'dhaan']","['അരി', 'ചോറ്', 'നെല്ല്', 'പച്ചരി', 'ധാന്യം']","['அரிசி', 'சோறு', 'பத்தம்', 'நெல்', 'பொரி']","['బియ్యం', 'అన్నం', 'ధాన్యం', 'వరి', 'ఆకులు']","['ચોખા', 'ભાત', 'ધાન્ય', 'અન્ન', 'ધાન']","['एरी', 'चोरू', 'नेल्लू', 'पचारी', 'दान्यम']","['अरिसी', 'सोआरू', 'पथ्थम', 'नेल', 'पोरी']","['बिय्यम', 'अन्नम', 'धन्यम', 'वारी', 'आकुलु']","['चोखा', 'भात', 'धान्य', 'अन्', 'धान']"
['rouge'],['Rot'],"['красный', 'красный цвет', 'кра́сный']","['red', 'redness']","['红色', '紅色']","['rojo', 'roja', 'rojez']",['赤'],"['빨강', '빨간색']",['punane'],"['punainen', 'punaisuus']","['rood', 'keel']","['लाल', 'रक्त', 'रंगीन', 'गुलाबी', 'सुर्ख']",red,['rosso'],"['laal', 'rakt', 'rangeen', 'gulabi', 'surkh']","['chuvapp', 'kettapp', 'chembu', 'thilakkam', 'rakthavarnnam']","['sivappu', 'kungumappoo', 'semmai', 'kaavi', 'velichcham']","['erupu', 'raktavarnam', 'raktam', 'kamalam', 'raaktavarnam']","['laal', 'raktim', 'rangeen', 'gulabi', 'raktvarni']","['ചുവപ്പ്', 'കെട്ടപ്പ്', 'ചെമ്പ്', 'തിളക്കം', 'രക്തവർണ്ണം']","['சிவப்பு', 'குங்குமப்பூ', 'செம்மை', 'காவி', 'வெளிச்சம்']","['ఎరుపు', 'రక్తవర్ణం', 'రక్తం', 'కమలం', 'రాక్తవర్ణం']","['લાલ', 'રક્તિમ', 'રંગીન', 'ગુલાબી', 'રક્તવર્ણી']","['चुवप्प', 'केटप्प', 'चेंबू', 'थिलक्कम', 'रक्तवर्णम']","['सिवप्पू', 'कुंगुमप्पू', 'सेम्मई', 'कावी', 'वेलिच्छम']","['एरुपु', 'रक्तवर्णम', 'रक्तम', 'कमलम', 'राक्तवर्णम्']","['लाल', 'रक्तिम', 'रंगीन', 'गुलाबी', 'रक्तवर्णी']"
"['télévision', 'vidéo', 'télé', 'travail', 'emploi', 'entreprise', 'profession', 'métier', 'occupation', 'job', 'day job', 'boulot', 'poste', 'affaire', 'tâche', 'phrase', 'droite', 'ligne droite', 'ligne', 'air', 'ligne mélodique', 'mélodie', 'phrase mélodique', 'ficelle', 'corde', 'fil', 'ligne téléphonique', 'rayure']","['Television', 'Video', 'Fernsehen', 'Videotechnik', 'Arbeit', 'Beruf', 'Geschäft', 'Stelle', 'Beschäftigung', 'Anstellung', 'Job', 'Unternehmen', 'day job', 'Tätigkeit', 'Satz', 'Gerade', 'Melodie', 'Zwirn', 'Kordel', 'Schnur', 'Leitung', 'Streifen']","['видео', 'телевидение', 'видеолента', 'ТВ', 'телеви́дение', 'профессия', 'работа', 'бизнес', 'род занятий', 'до́лжность', 'профе́ссия', 'заня́тие', 'дневная работа', 'рабо́та', 'предложение', 'фра́за', 'предложе́ние', 'прямая', 'мелодия', 'напе́в', 'моти́в', 'мело́дия', 'Шпагат', 'шпагат', 'нить', 'верёвка', 'шнур', 'шпага́т', 'бечёвка', 'ли́ния свя́зи', 'ли́ния', 'проводная телефонная связь', 'телефо́нная ли́ния', 'полоса']","['line', 'television', 'video', 'TV', 'telecasting', 'videotape recording', 'work', 'occupation', 'employment', 'job', 'business', 'line of work', 'day job', 'sentence', 'straight line', 'tune', 'strain', 'melody', 'air', 'melodic line', 'melodic phrase', 'string', 'twine', 'telephone line', 'telephone circuit', 'phone line', 'subscriber line', 'band', 'stripe', 'banding']","['電視', '片', '視頻', '影片', '电视', '视频', '职业', '職業', '工作', '商業', '職務', '职务', '崗位', '商业', '岗位', '行业', '句子', '语句', '語句', '句', '線', '直线', '线', '曲子', '曲调', '曲調', '旋律', '歌曲', '合股線', '合股线', '细绳', '電話線', '电话线', '电话线路', '橫條紋', '带', '条带', '詩句', '台词']","['video', 'televisión', 'vídeo', 'tele', 'televisor', 'tv', 'television', 'TV', 'ocupación', 'empleo', 'trabajo', 'profesión', 'empresa', 'pega', 'laburo', 'camello', 'day job', 'talacha', 'negocio', 'brete', 'curro', 'chamba', 'frase', 'oración', 'recta', 'línea', 'cuerda', 'ton', 'melodía', 'aire', 'tonada', 'cordel', 'mecate', 'guita', 'hilo', 'bramante', 'cordón', 'línea telefónica', 'circuito telefónico', 'línea de teléfono', 'raya', 'faja', 'tira', 'renglón', 'verso']","['テレビ', 'ビデオ', 'テレビジョン', '電視', '職業', '仕事', '取引', 'ジョブ', '商い', '生業', '業務', '工作', 'バイト', '商売', '文', '文章', 'センテンス', '直線', '旋律', 'メロディー', '曲', '歌曲', 'メロディ', '調べ', '紐', '電話回線', '縞模様', '詩行']","['텔레비전', '티뷔', '비디오', '티비', '텔레비', '전시', '테레비', '티브이', '직업', '알바', '일', '아르바이트', '일자리', '문장', '센텐스', '직선', '곡조', '선율', '멜로디', '악곡', '곡', '끈', '전화선', '줄무늬']","['video', 'televisioon', 'elukutse', 'ärindus', 'amet', 'kutse', 'ettevõte', 'töö', 'äri', 'tegevusala', 'lause', 'sirge', 'meloodia', 'Meloodia', 'nöör', 'Nöör', 'niit', 'Telefoniliin', 'telefoniliin', 'Triibuline', 'Rida']","['televisio', 'video', 'TV', 'televisiointi', 'työ', 'ammatti', 'liiketoiminta', 'elinkeino', 'day job', 'ajanviete', 'ansiotyö', 'ala', 'toimi', 'toimiala', 'kiinnostuksen kohde', 'virke', 'lause', 'suora', 'muoto', 'melodia', 'Melodia', 'sävel', 'sävelmä', 'naru', 'nyöri', 'lanka', 'lankapuhelinliittymä', 'puhelinlinja', 'linja', 'puhelinjohto', 'liittymä', 'raita', 'nauha', 'panta', 'rivi']","['video', 'televisie', 'videotechniek', 'kijkbuis', 'beeldomroep', 'betrekking', 'werk', 'baan', 'zakenwereld', 'beroep', 'nering', 'onderneming', 'zaak', 'job', 'zakenleven', 'arbeid', 'bezigheid', 'zaken', 'day job', 'dienstverband', 'vak', 'positie', 'métier', 'professie', 'post', 'stiel', 'functie', 'frase', 'zin', 'rechte lijn', 'lijn', 'touw', 'melodie', 'zangwijs', 'kant', 'twijn', 'draad', 'koord', 'streng', 'tweern', 'garen', 'paktouw', 'bindtouw', 'bindgaren', 'pees', 'aansluiting', 'verbinding', 'telefoonverbinding', 'gestreept', 'biaislint', 'boordband', 'biaisband', 'boordlint', 'streep', 'regel', 'meridiaan', 'gezichtspunt', 'rechte', 'brief']","['रेखा', 'लकीर', 'सीमा', 'रेखा', 'लक्ष्मा']",line,"['televisione', 'video', 'tivù', 'tele', 'tivvù', 'TV', 'impresa', 'mestiere', 'occupazione', 'impiego', 'affari', 'lavoro', 'compito', 'day job', 'posto di lavoro', 'attività', 'posto', 'frase', 'periodo', 'linea retta', 'linea', 'retta', 'melodia', 'linea melodica', 'canto', 'aria', 'stringa', 'spago', 'legaccio', 'laccetto', 'fila', 'filo', 'cordicella', 'linea telefonica', 'banda', 'fascia', 'lista', 'riga', 'verso', 'rigo']","['rekha', 'lakir', 'seema', 'rekha', 'lakshma']","['rekha', 'vara', 'punk', 'koodu', 'nira']","['koadu', 'varii', 'paattai', 'koattu', 'thodar']","['rekha', 'geetha', 'varusa', 'pankthi', 'seema']","['rekhaa', 'line', 'keenar', 'rekhankeet', 'seema']","['രേഖ', 'വര', 'പങ്ക്', 'കോട്', 'നിര']","['கோடு', 'வரி', 'பாட்டை', 'கோட்டு', 'தொடர்']","['రేఖ', 'గీత', 'వరుస', 'పంక్తి', 'సీమ']","['રેખા', 'લાઇન', 'કિનાર', 'રેખાંકિત', 'સીમા']","['रेखा', 'वारा', 'पंक', 'कूडू', 'निरा']","['कोआडू', 'वरी', 'पात्तै', 'कोट्टू', 'थोदर']","['रेखा', 'गीथा', 'वरुसा', 'पंक्ति', 'सीमा']","['रेखा', 'लाइन', 'कीनार', 'रेखांकीत', 'सीमा']"
"['internet', 'réseau informatique', 'réseau', 'Internet', 'cyberespace', 'filet', 'maille de tricot', 'maillage', 'tissus', 'bénéfice', 'gain', 'revenu net', 'profit', 'lucre', 'Profit', 'bénéfice net', 'résultat net', 'revenus']","['Internet', 'Netzwerk', 'Rechnernetz', 'Computernetzwerk', 'Netz', 'Cyberspace', 'Gittergewebe', 'Gitter', 'Nettoeinkommen', 'Netto', 'Jahresüberschuss', 'Verdienst', 'Profit', 'Lohn', 'Nettogewinn', 'Einkommen', 'Reingewinn', 'Gewinn']","['Интернет', 'компьютерная сеть', 'киберпространство', 'сеть', 'интерне́т', 'мерёжа', 'Сетка', 'мре́жа', 'се́тка', 'Чистая прибыль', 'прибыль', 'чистая прибыль', 'дохо́д', 'Бухгалтерская прибыль', 'чи́стый дохо́д', 'за́работок', 'Нетто', 'нетто', 'чи́стая при́быль', 'при́быль', 'profit']","['net', 'network', 'Internet', 'computer network', 'internet', 'cyberspace', 'mesh', 'meshwork', 'meshing', 'knitting stitch', 'profit', 'lucre', 'profits', 'earnings', 'net income', 'net profit']","['计算机网络', '電腦網路', '互联网', '互聯網', '信息空间', '因特網', '网际网路', '网路', '網絡', '網際網路', '因特网', '网络', '網路', '赛博空间', '虚拟空间', '网络空间', '網', '筛', '网孔', '网', '網孔', '净利', '纯利', '纯利润', '利润', '利益', '净收入', '純利', '收益', '淨利', '收入', '盈餘', '所得']","['red de computadoras', 'red de ordenadores', 'red informática', 'Internet', 'red', 'internet', 'ciberespacio', 'malla', 'rejilla', 'ganancia', 'beneficio', 'ingreso neto', 'lucro', 'ingresos netos', 'ganancia neta', 'beneficio neto', 'beneficios', 'ganancias']","['コンピュータ・ネットワーク', 'インターネット', 'ネット', 'サイバースペース', '編', '網', 'メッシュ', '純利益', '利益', '収入', '純利', '所得', '稼ぎ', 'グロス']","['인터넷', '인터네트', '누리망', '넷', '가상 공간', '그물', '망', '순이익', '이익']","['Internet', 'veeb', 'nett', 'küberruum', 'Kübermaailm', 'võrk', 'internet', 'kübermaailm', 'Netosissetulek', 'Kasum']","['internet', 'netti', 'Internet', 'kyberavaruus', 'verkko', 'seula', 'nettoansio', 'Netto', 'netto', 'pätäkkä', 'nettovoitto', 'Tilikauden voitto', 'nettotulos', 'nettotulo', 'ansiot', 'tulos', 'voitto', 'liikevoitto', 'mammona', 'tuotto', 'ansiotulot']","['netwerk', 'computernetwerk', 'Internet', 'cyberspace', 'internet', 'gaas', 'breisteek', 'vangnet', 'winst', 'verdiensten', 'inkomsten', 'netto-inkomen', 'ontvangsten', 'merites', 'opbrengst', 'Nettowinst', 'gewin', 'netto', 'nettowinst', 'profijt', 'baten', 'winstcijfer', 'baat', 'winstcijfers']","['जाल', 'वेब', 'नेटवर्क', 'मोह', 'जाड़']",net,"['internet', 'rete informatica', 'rete di calcolatori', 'rete', 'Internet', 'cyberspazio', 'maglia', 'reti', 'guadagno', 'utile netto', 'reditto netto', 'profitto', 'netto', 'provento', 'reddito netto', 'rendimento', 'utile', 'lucro', 'ricavato', 'ricavo', 'frutto']","['jaal', 'web', 'network', 'moh', 'jaad']","['vala', 'jaalam', 'valayam', 'jaalakam', 'nettu']","['valai', 'nett', 'jaalam', 'pinnal', 'pidippu']","['vala', 'jaalam', 'nett', 'theega', 'bandham']","['jaal', 'nett', 'jaalee', 'faand', 'jaalo']","['വല', 'ജാലം', 'വലയം', 'ജാലകം', 'നെറ്റ്']","['வலை', 'நெட்', 'ஜாலம்', 'பின்னல்', 'பிடிப்பு']","['వల', 'జాలం', 'నెట్', 'తీగ', 'బంధం']","['જાળ', 'નેટ', 'જાળી', 'ફાંદ', 'જાળો']","['वाला', 'जालम', 'वलयम', 'जालकम', 'नेट्टू']","['वलाई', 'नेट', 'जालम', 'पिन्नल', 'पिडिप्पू']","['वाला', 'जालम', 'नेट', 'ठीगा', 'बंधम']","['जाल', 'नेट', 'जाली', 'फांद', 'जालो']"
"['thé', 'repas du soir', 'dîner', 'souper', 'déjeuner', 'feuille de thé']","['Tee', 'Nachtessen', 'Abendbrot', 'Abendessen', 'Hauptmahlzeit', 'Dinner', 'Teeblatt', 'Teeblätter']","['чай', 'ужин', 'обед', 'у́жин', 'ча́йные ли́стья', 'ча́йный лист']","['tea', 'dinner', 'evening meal', 'supper', 'tea leaf']","['茶', '红茶', '晚餐', '正餐', '晚飯', '主餐', '晚饭', '茶叶', '茶葉']","['té', 'cena', 'comida', 'tisana', 'infusión', 'hoja de té']","['茶', '夜食', '夕食', '茶葉', 'お茶っ葉']","['차', '저녁', '주찬', '차잎', '찻잎', '다엽']",['tee'],"['tee', 'iltapala', 'päivällinen', 'illallinen', 'teelehti', 'teenlehdet', 'teenlehti']","['thee', 'diner', 'middagmaal', 'avondmaal', 'avondeten', 'avondmaaltijd', 'eten', 'middageten', 'etentje', 'theeblad']","['चाय', 'कॉफी', 'जलज', 'भोजनपान', 'रस']",tea,"['tè', 'thè', 'cena', 'desinare', 'foglia di tè']","['chaay', 'coffey', 'jalaj', 'bhojanpan', 'russ']","['chaaya', 'theyila', 'kapp', 'paneeyam', 'madurachaaya']","['theneer', 'thaeyilai', 'kaapi', 'paanam', 'paathiram']","['tii', 'chaay', 'coffey', 'paneeyam', 'vadrangi']","['chaa', 'kaafee', 'paanee', 'pinun', 'kofee']","['ചായ', 'തേയില', 'കപ്പ്', 'പാനീയം', 'മധുരചായ']","['தேநீர்', 'தேயிலை', 'காபி', 'பானம்', 'பாத்திரம்']","['టీ', 'చాయ్', 'కాఫీ', 'పానీయం', 'వడ్రంగి']","['ચા', 'કાફી', 'પાણી', 'પીણું', 'કોફી']","['छाया', 'थेयिला', 'कप्प', 'पनीयम', 'मदुरचाया']","['थेनीर', 'थैयिलाई', 'कापी', 'पानम', 'पाथीराम']","['ती', 'चाय', 'कॉफी', 'पनीयम', 'वदरंगी']","['चा', 'काफी', 'पानी', 'पिनुन', 'कोफी']"
"['pied', 'fondation', 'substruction', 'soubassement', 'infrastructure', 'substructure', 'fondement', 'base']","['Fuß', 'Pes', 'Basis', 'Gründung']","['стопа', 'фундамент']","['foot', 'human foot', 'pes', 'Pes', 'groundwork', 'understructure', 'fundament', 'base', 'substructure', 'foundation']","['腳', '脚', '脚部', '足', '基础', '地基']","['pie', 'pes', 'pata', 'base', 'subestructura', 'cimentación', 'cimiento', 'fundación', 'fundamento']","['ペス', '足', '基礎']","['발', '기초']","['Labajalg', 'vundament', 'Vundament']","['jalkaterä', 'jalka', 'perustus', 'alusrakenne', 'pohja', 'jalusta', 'kanta', 'juuri', 'alaosa', 'pohjatyö', 'perus', 'rakennuspohja', 'jalkopää', 'alapää', 'alusta', 'antura', 'perusta', 'perusrakenne', 'perusmuuri']","['voet', 'voeten', 'poot', 'pootje', 'fundament', 'basis', 'fundering', 'grondvesting', 'grondslag', 'grondvest', 'bedding']","['पैर', 'पाद', 'चरण', 'तलवा', 'पग']",foot,"['piede', 'base', 'fondazione', 'fondazioni', 'piedistallo', 'piedestallo', 'sottofondo']","['pair', 'paad', 'charan', 'talwa', 'pug']","['call', 'paadam', 'paadam', 'adii', 'charanam']","['kaall', 'paatham', 'paatham', 'addii', 'kazhal']","['paadam', 'kaalu', 'adugu', 'paadabhaagam', 'padamu']","['pug', 'paad', 'paadak', 'charan', 'paaya']","['കാൽ', 'പാദം', 'പാദം', 'അടി', 'ചരണം']","['கால்', 'பாதம்', 'பாதம்', 'அடி', 'கழல்']","['పాదం', 'కాలు', 'అడుగు', 'పాదభాగం', 'పదము']","['પગ', 'પાદ', 'પાદક', 'ચરણ', 'પાયા']","['कॉल', 'पादम', 'पादम', 'अदी', 'चरणम']","['काल', 'पाथम', 'पाथम', 'अड्डी', 'काजहल']","['पादम', 'कालू', 'अदुगु', 'पादभागम', 'पदामु']","['पुग', 'पाड़', 'पादक', 'चरण', 'पाया']"
"['or', 'ambre']",['Bernsteinfarben'],"['золото', 'золотистый', 'Янтарный цвет', 'золотой цвет', 'золото́й', 'янтарный цвет']","['gold', 'Au', 'amber', 'golden brown']","['黃金', '黄金', '金', '金子', '金色', '橙黃色']","['oro', 'ámbar', 'dorado']","['金', '金色', '橙色', '黄金色', 'こはく色']","['금', '금색', '골드', '호박색', '등색']","['kuld', 'merevaikkollane', 'Merevaikkollane']","['kulta', 'Au', 'kullankeltainen', 'meripihkan värinen']","['goud', 'guld', 'amber']","['सोना', 'स्वर्ण', 'काना', 'धातु', 'आभूषण']",gold,"['oro', 'ambra']","['sonaa', 'swarn', 'kaanaa', 'dhaatu', 'aabhushan']","['svarnnam', 'ponnu', 'soonaা', 'kanakam', 'thankam']","['thangam', 'ponn', 'kanagam', 'ponnaan', 'suvarnam']","['bangaaram', 'swarnam', 'pasidi', 'kanakam', 'hiranyam']","['sonoo', 'suvarn', 'kanak', 'sonaru', 'paanchal']","['സ്വർണ്ണം', 'പൊന്ന്', 'സോനা', 'കനകം', 'തങ്കം']","['தங்கம்', 'பொன்', 'கனகம்', 'பொன்னான்', 'சுவர்ணம்']","['బంగారం', 'స్వర్ణం', 'పసిడి', 'కనకం', 'హిరణ్యం']","['સોનું', 'સુવર્ણ', 'કનક', 'સોનારુ', 'પાંચાળ']","['स्वर्णनाम', 'पोनू', 'सूनाা', 'कनकम', 'थानकाम']","['थंगम', 'पोन', 'कनागम', 'पोनान', 'सुवर्णम']","['बंगाराम', 'स्वर्णम', 'पसीदी', 'कनकम', 'हिरण्यम']","['सोनू', 'सुवर्ण', 'कनक', 'सोनारू', 'पांचल']"
"['encadrement de porte', 'porte', 'portière', 'huis']","['Türfutter', 'Türrahmen', 'Tor', 'Türzarge', 'Türen', 'Tür', 'Türe']","['две́ри', 'дверь']","['door', 'door case', 'doorcase', 'door frame', 'doorway', 'doorframe']","['戶', '門', '门', '门儿', '門兒', '門扉']","['puerta', 'marco de puerta', 'seguro']","['門', 'ドア', '扉', '戸', '戸口']",['문'],['uks'],['ovi'],"['poort', 'portier', 'deur']","['दरवाजा', 'द्वार', 'फाटक', 'प्रवेशद्वार', 'गेट']",door,"['telaio della porta', 'porta', 'portiera', 'uscio', 'sportello']","['darwaja', 'dwaar', 'faatak', 'praveshdwar', 'gett']","['vaathil', 'kavaadam', 'jaalakam', 'padi', 'kamaanam']","['kadhavu', 'vaayil', 'paathai', 'vazhi', 'nuzhaivu']","['talupu', 'dwaaram', 'gummam', 'kattalu', 'dwaarabandham']","['darvaajo', 'baaree', 'dwaar', 'praveshdwaar', 'dwarika']","['വാതിൽ', 'കവാടം', 'ജാലകം', 'പടി', 'കമാനം']","['கதவு', 'வாயில்', 'பாதை', 'வழி', 'நுழைவு']","['తలుపు', 'ద్వారం', 'గుమ్మం', 'కత్తలు', 'ద్వారబంధం']","['દરવાજો', 'બારી', 'દ્વાર', 'પ્રવેશદ્વાર', 'દ્વારિકા']","['वाथिल', 'कवादम', 'जालकम', 'पड़ी', 'कमानम']","['कढ़वू', 'वायिल', 'पाठै', 'वाज़ी', 'नुज़हैवू']","['तलुपु', 'द्वारम', 'गुम्मम', 'कट्टालू', 'द्वारबंधम']","['दरवाजो', 'बारी', 'द्वार', 'प्रवेशद्वार', 'द्वारिका']"
