lang,word_original,word_translation
ml,head,"માથું, શીર, મસ્તક, શિરો, મસ્તિષ્ક"
ml,shop,"દુકાન, અંગડી, વિક્રયાલય, બજાર, પેટી"
ml,strip,"પટ્ટી, ડોરી, રેખા, પટ્ટા, ફાળો"
ml,street,"શેરી, રસ્તો, માર્ગ, ગલી, રાજમાર્ગ"
ml,part,"ભાગ, હિસ્સો, અંશ, ખંડ, વિભાગ"
ml,eye,"આંખ, નયન, અક્ષિ, નેત્ર, પાપણું"
ml,field,"ક્ષેત્ર, મેદાન, જમીન, ભૂમિ, ક્ષેત્રફળ"
ml,site,"સ્થળ, સાઇટ, જગ્યા, સ્થાન, મથક"
ml,dance,"નૃત્ય, ડાઘ, રમત, રાસ, ગરબા"
ml,word,"શબ્દ, વાક્ય, ઉક્તિ, શબ્દસમૂહ, અભિવ્યક્તિ"
ml,pair,"જોડી, યુગ્મ, જોડા, દંપતી, સાથીદાર"
ml,seat,"આસન, બેઠક, સ્થાન, જગ્યા, સંદર્ભ"
ml,light,"પ્રકાશ, ઉજાસ, તેજ, ઝળક, ઝાંખા"
ml,thousand,"હજાર, સહસ્ત્ર, એકહજાર, હજારો, સહસ્રાધિક"
ml,north,"ઉત્તર, દિશા, દિક્ક, અભિમુખ, દેશ"
ml,machine,"યંત્ર, મશીન, ઉપકરણ, ભાગો, યંત્રિકા"
ml,time,"સમય, વેળા, કાળ, અવધિ, ક્ષણ"
ml,benefit,"લાભ, ફાયદો, પ્રયોજન, વળતર, ગુણ"
ml,position,"સ્થાન, સ્થિતિ, પદ, મર્યાદા, અવસ્થા"
ml,province,"પ્રાંત, પ્રદેશ, રાજ્ય, ક્ષેત્ર, વિભાગ"
ml,exchange,"વિનિમય, બદલાવ, આપવું, લેવડ, અદલાબદલી"
ml,middle,"મધ્ય, વચ્ચે, મધ્યભાગ, બીચ, કેન્દ્ર"
ml,friend,"મિત્ર, સાથી, સહયોગી, સંબંધી, સહચર"
ml,color,"રંગ, વર્ણ, રંગત, છાયા, રચના"
ml,kind,"દયાળુ, સહૃદય, મહેરબાન, ઉદાર, સંવેદનશીલ"
ml,judge,"ન્યાયાધીશ, વિચારક, નિર્ણાયક, ન્યાયમૂર્તિ, પ્રમાણભૂત"
ml,school,"શાળા, વિદ્યાલય, વિદ્યાપીઠ, શિક્ષણસંસ્થા, કોલેજ"
ml,structure,"રચના, બાંધકામ, સંરચના, મકાન, ઢાંચો"
ml,tie,"ટાઇ, બાંધણી, ગાંઠ, બંધન, જોડણી"
ml,example,"ઉદાહરણ, દાખલો, નમૂનો, તથ્ય, દૃષ્ટાંત"
ml,face,"મુખ, ચહેરો, વદન, મોં, ચહેરામોંહ"
ml,bridge,"સેતુ, પુલ, સંયોગ, જોડાણ, સંબંધ"
ml,item,"વસ્તુ, ચીજ, પદાર્થ, સામગ્રી, વિષય"
ml,delete,"હટાવવું, કાપવું"
ml,group,"જૂથ, ટોળી, સમૂહ, ટીમ, દળ"
ml,talent,"કુશળતા, કૌશલ્ય, યોગ્યતા, ક્ષમતા, વિદ્યાધરતા"
ml,beauty,"સુંદરતા, રૂપ, શોભા, સૌંદર્ય, આકર્ષણ"
ml,platform,"મંચ, વેદિકા, સપાટી, સ્થળ, મેદાન"
ml,house,"ઘર, મકાન, ગૃહ, ભવન, બંગલો"
ml,sun,"સૂર્ય, દિવાકર, આદિત્ય, ભાનુ, રવિ"
ml,meeting,"બેઠક, સભા, સત્ર, સમાવેશ, સંમેલન"
ml,history,"ઇતિહાસ, ચરિત્ર, પરંપરા, ઐતિહાસિક, અતીત"
ml,valley,"ખીણ, નદીમુખ, ખાડો, નિમ્ણપ્રદેશ, ખાત"
ml,square,"ચોરસ, વર્ગ, ચોરસાકાર, ચતુષ્કોણ, વર્ગાકાર"
ml,generation,"પેઢી, પીઢી, પંક્તિ, વંશ, અનુવંશ"
ml,south,"દક્ષિણ, દક્ષિણદિશા, દક્ષિણાયન, અવનિ, દિશા"
ml,virtue,"ગુણ, નૈતિકતા, સાર, પુણ્ય, ધર્મ"
ml,tribe,"જાતિ, જનજાતિ, કબીલો, વંશ, સમુદાય"
ml,city,"શહેર, નગર, મહાનગર, નગરી, શહેરી"
ml,language,"ભાષા, બોલી, જુબાન, શબ્દ, વાણી"
ml,speed,"ગતિ, વેગ, ઝડપ, ચપળતા, ત્વરા"
ml,ground,"જમીન, ભૂમિ, ધરતી, જમા, ભૂઇં"
ml,advance,"અગ્રગતિ, પ્રગતિ, પ્રગામી, આગળ, વિકાસ"
ml,attempt,"પ્રયત્ન, પ્રયાસ, યત્ન, કોશિશ, ચેષ્ટા"
ml,defeat,"હાર, પરાજય, નિષ્ફળતા, અસફળતા, પરાભવ"
ml,tail,"પૂછો, ડોક, લાંબો, પિચ્છ, પૂંછડી"
ml,mother,"માતા, મા, આતા, જનની, મ્યાતા"
ml,east,"પૂર્વ, પૂર્વદિશા, ઉદય, પ્રાચી, પૂર્વભાગ"
ml,return,"પરત, પુનઃપ્રાપ્તિ"
ml,speech,"ભાષણ, વક્તવ્ય, ઉપદેશ, પ્રવચન, વાણી"
ml,child,"બાળક, બાળ, સંતાન, પુત્ર, બચ્ચો"
ml,tower,"મિનારો, બુરજ, મહલ, અટારી, માળખું"
ml,hair,"વાળ, કેશ, લોમ, રોમ, કપાળ"
ml,household,"પરિવાર, ઘર, કુટુંબ, ઘરડો, સંસાર"
ml,person,"વ્યક્તિ, માણસ, મનુષ્ય, વ્યક્તિવિશેષ, પુરુષ"
ml,section,"વિભાગ, ભાગ, ખંડ, અધ્યાય, પ્રકરણ"
ml,official,"અધિકૃત, સત્તાવાર, સરકારી, આધિકારિક, રસ્મિ"
ml,hundred,"શત, સો, એકસો, સૈકા, શતક"
ml,office,"કાર્યાલય, કચેરી, ઓફિસ, કાર્યાલયખંડ, કાર્યભવન"
ml,rock,"પથ્થર, શિલા, ચટ્ટાન, કડક, દરડો"
ml,rise,"વધારો, ઉછાળો, ઊંચાઈ, વૃદ્ધિ, ઉદય"
ml,left,"ડાબો, ડાબી, વામા, વામો, અડધો"
ml,sound,"ધ્વનિ, અવાજ, સંગીત, નાદ, સૂર"
ml,power,"શક્તિ, સત્તા, બળ, ક્ષમતા, સામર્થ્ય"
ml,summer,"ઉનાળો, ગ્રીષ્મ, ગ્રીષ્મકાળ, ગરમી"
